date,short_story,full_story,title,category,alt_name
2023-07-04 21:34:42.763824,"<p> <center><a href=""https://www.amazon.de/dp/1471136728?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/41BMsvYiCxL._SX325_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €11.86</p> From Colleen Hoover, the #1 Sunday Times bestselling author of It Ends with Us, a heart-wrenching love story that proves attraction at first sight can be messy. When Tate Collins meets airline pilot M...","<p> <center><a href=""https://www.amazon.de/dp/1471136728?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/41BMsvYiCxL._SX325_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €11.86</p> From Colleen Hoover, the #1 Sunday Times bestselling author of It Ends with Us, a heart-wrenching love story that proves attraction at first sight can be messy. When Tate Collins meets airline pilot Miles Archer, she doesn't think it's love at first sight. They wouldn't even go so far as to consider themselves friends. The only thing Tate and Miles have in common is an undeniable mutual attraction. Once their desires are out in the open, they realise they have the perfect set-up. He doesn't want love, she doesn't have time for love, so that just leaves the sex. Their arrangement could be surprisingly seamless, as long as Tate can stick to the only two rules Miles has for her.Never ask about the past. Don't expect a future. They think they can handle it, but realise almost immediately they can't handle it at all.Hearts get infiltrated. Promises get broken. Rules get shattered. Love gets ugly. <p><strong>   Print length      352 pages   <br>   Language      English   <br>   Publisher      Simon + Schuster UK   <br>   Publication date      5 Aug. 2014   <br>   Dimensions      13 x 2.3 x 19.3 cm   <br>   ISBN-10      1471136728   <br>   ISBN-13      978-1471136726   </strong></p><p> <center><a href=""https://www.amazon.de/dp/1471136728?&tag=buch0ed-21"" target=""_blank"">Ugly Love: a novel</a></center> </p>",Ugly Love: a novel,12,ugly-love-a-nove
2023-07-04 21:35:00.373371,"<p> <center><a href=""https://www.amazon.de/dp/3328601430?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/41jX24rJBlL._SX312_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €14.99</p> Ein dichter, melancholischer Roman über einen unvergesslichen SommerEin Sommerurlaub Ende der 90er, zwei Brüder mit ihren Eltern am Meer. Der eine knapp 17, vorlaut, sportlich und schon erfahren im Um...","<p> <center><a href=""https://www.amazon.de/dp/3328601430?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/41jX24rJBlL._SX312_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €14.99</p> Ein dichter, melancholischer Roman über einen unvergesslichen SommerEin Sommerurlaub Ende der 90er, zwei Brüder mit ihren Eltern am Meer. Der eine knapp 17, vorlaut, sportlich und schon erfahren im Umgang mit Mädchen; der andere 15, oft in Gedanken versunken, schüchtern und ohne Sixpack. Doch alles wird anders, als der Jüngere am Strand dem geheimnisvollen Filip begegnet. Dieser fasziniert ihn auf eine Weise, die er schwer einordnen kann: mit seinem Lächeln, seinen Segelohren, seinem muskulösen Körper. Am letzten Ferientag geschieht das Undenkbare und doch insgeheim so Ersehnte: Sie verbringen eine gemeinsame Nacht. Danach ebbt der Kontakt ab, Filipbleibt schmerzhaft unerreichbar, verblasst. Bis der 15-Jährige etwas über den Franzosen erfährt, was ihn über Nacht erwachsen werden lässt …Florian Gottschick erzählt faszinierend direkt, wehmütig und voller Humor von der Euphorie der ersten Liebe und davon, wie ein Erlebnis in der Jugend dem Leben eine ganz eigene Wendung geben kann. <p><strong>   Print length      192 pages   <br>   Language      German   <br>   Publisher      Penguin Verlag   <br>   Publication date      26 April 2023   <br>   Dimensions      13.7 x 1.7 x 20.6 cm   <br>   ISBN-10      3328601430   <br>   ISBN-13      978-3328601432   </strong></p><p> <center><a href=""https://www.amazon.de/dp/3328601430?&tag=buch0ed-21"" target=""_blank"">Damals im Sommer: Roman</a></center> </p>",Damals im Sommer: Roman,12,damals-im-sommer-roma
2023-07-04 21:35:14.098085,"<p> <center><a href=""https://www.amazon.de/dp/1518783872?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/51kkR+ueArL._SX322_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €0.00</p> From New York Times bestselling author Penelope Douglas comes a new dark romance...Erika I was told that dreams were our heart’s desires. My nightmares, however, became my obsession. His name is Micha...","<p> <center><a href=""https://www.amazon.de/dp/1518783872?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/51kkR+ueArL._SX322_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €0.00</p> From New York Times bestselling author Penelope Douglas comes a new dark romance...Erika I was told that dreams were our heart’s desires. My nightmares, however, became my obsession. His name is Michael Crist. My boyfriend’s older brother is like that scary movie that you peek through your hand to watch. He's handsome, strong, and completely terrifying. The star of his college’s basketball team and now gone pro, he’s more concerned with the dirt on his shoe than me. But I noticed him. I saw him. I heard him. The things that he did, and the deeds that he hid…For years, I bit my nails, unable to look away. Now, I’ve graduated high school and moved on to college, but I haven’t stopped watching Michael. He’s bad, and the dirt I’ve seen isn’t content to stay in my head anymore. Because he’s finally noticed me. Michael Her name is Erika Fane, but everyone calls her Rika.My brother’s girlfriend grew up hanging around my house and is always at our dinner table. She looks down when I enter a room and stills when I am close. I can always feel the fear rolling off of her, and while I haven’t had her body, I know that I have her mind. That’s all I really want anyway. Until my brother leaves for the military, and I find Rika alone at college. In my city. Unprotected. The opportunity is too good to be true, as well as the timing. Because you see, three years ago she put a few of my high school friends in prison, and now they’re out. We’ve waited. We’ve been patient. And now every last one of her nightmares will come true. *Corrupt is a STANDALONE dark romance with no cliffhanger. It is suitable for ages 18+. <p><strong>   Book 1 of 6      Devil's Night   <br>   Print length      516 pages   <br>   Language      English   <br>   Publication date      13 Nov. 2015   <br>   Dimensions      13.97 x 3.28 x 21.59 cm   <br>   ISBN-10      1518783872   <br>   ISBN-13      978-1518783876   </strong></p><p> <center><a href=""https://www.amazon.de/dp/1518783872?&tag=buch0ed-21"" target=""_blank"">Corrupt (Devil's Night, Band 1)</a></center> </p>","Corrupt (Devil's Night, Band 1)",12,corrupt-devils-night-band-
2023-07-04 21:35:29.675785,"<p> <center><a href=""https://www.amazon.de/dp/3453491181?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/41oeQUoIK9S._SX326_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €9.99</p> Gerade als Tessa die wichtigste Entscheidung ihres Lebens getroffen hat, ändert sich alles. Die Geheimnisse in ihrer Familie und der Streit darüber, wie ihre Zukunft mit Hardin aussehen soll, bringen ...","<p> <center><a href=""https://www.amazon.de/dp/3453491181?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/41oeQUoIK9S._SX326_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €9.99</p> Gerade als Tessa die wichtigste Entscheidung ihres Lebens getroffen hat, ändert sich alles. Die Geheimnisse in ihrer Familie und der Streit darüber, wie ihre Zukunft mit Hardin aussehen soll, bringen alles ins Wanken. Zudem schlägt Hardin immer noch um sich, anstatt Tessa zu vertrauen, und der Kreislauf aus Eifersucht, Zorn und Verschmelzung wird immer zerstörerischer. Noch nie hatte Tessa so intensive Gefühle, war so berauscht von einem Menschen. Aber reicht die Liebe allein? <p><strong>   Book 3 of 7      After   <br>   Print length      944 pages   <br>   Language      German   <br>   Publisher      Heyne Verlag   <br>   Publication date      15 Jun. 2015   <br>   Dimensions      13.5 x 5.2 x 20.7 cm   <br>   ISBN-10      3453491181   <br>   ISBN-13      978-3453491182   </strong></p><p> <center><a href=""https://www.amazon.de/dp/3453491181?&tag=buch0ed-21"" target=""_blank"">After love: AFTER 3 - Roman</a></center> </p>",After love: AFTER 3 - Roman,12,after-love-after-3-roma
2023-07-04 21:40:53.989383,"<p> <center><a href=""https://www.amazon.de/dp/3910530214?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/51RwcxtRHxL._SX420_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €12.00</p> Jetzt, da Taeseong und Haebom immer mehr Zeit miteinander verbringen, können sie ihre Gefühle füreinander nicht länger leugnen. Als sie Taeseongs Geburtstag feiern, kommt es zum Kuss. Doch was nun? Im...","<p> <center><a href=""https://www.amazon.de/dp/3910530214?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/51RwcxtRHxL._SX420_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €12.00</p> Jetzt, da Taeseong und Haebom immer mehr Zeit miteinander verbringen, können sie ihre Gefühle füreinander nicht länger leugnen. Als sie Taeseongs Geburtstag feiern, kommt es zum Kuss. Doch was nun? Immerhin leben die beiden unter einem Dach! Gefangen zwischen den Gefühlen für seinen Freund und der Angst, seine Adoptivmutter zu enttäuschen, beginnt Haebom sich erneut zurückzuziehen. Und plötzlich droht wieder Distanz zwischen den beiden Freunden zu entstehen … Der Webtoon zum beliebten K-Drama! <p><strong>   Book 2 of 2      Kirschblüten nach dem Winter   <br>   Print length      304 pages   <br>   Language      German   <br>   Publisher      papertoons   <br>   Publication date      12 Jun. 2023   <br>   Reading age      16 years and up   <br>   Dimensions      14.7 x 1.7 x 21 cm   <br>   ISBN-10      3910530214   <br>   ISBN-13      978-3910530218   </strong></p><p> <center><a href=""https://www.amazon.de/dp/3910530214?&tag=buch0ed-21"" target=""_blank"">Kirschblüten nach dem Winter 02</a></center> </p>",Kirschblüten nach dem Winter 02,12,kirschblten-nach-dem-winter-0
2023-07-04 21:41:00.735424,"<p> <center><a href=""https://www.amazon.de/dp/B0BKLBK1LN?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/512NRr7omsL.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €9.99</p> Vier Geschichten. Vier Paare. Drei Jahre echtes Leben nach dem College ...Endlich bekommen die Fans der Booktok-Lieblingsreihe eine Antwort auf die Frage: Wie ging es weiter? Was mit »The Deal« begann...","<p> <center><a href=""https://www.amazon.de/dp/B0BKLBK1LN?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/512NRr7omsL.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €9.99</p> Vier Geschichten. Vier Paare. Drei Jahre echtes Leben nach dem College ...Endlich bekommen die Fans der Booktok-Lieblingsreihe eine Antwort auf die Frage: Wie ging es weiter? Was mit »The Deal« begann, findet im fünften und letzten Band der »Off-Campus«-Reihe seinen krönenden Abschluss. Darin gibt es in vier Novellas für jedes Liebespaar der vier Vorgängerbände ein Happy End: eine Hochzeit, einen Heiratsantrag, eine Beziehungspause – und eine süße Überraschung.Einander lieben ist nicht schwer, gemeinsam erwachsen werden dagegen sehr.Das Leben nach dem College ist für Garrett und Hannah, Logan und Grace, Dean und Allie sowie Tucker und Sabrina nicht ganz so, wie sie es sich vorgestellt haben. Plötzlich stehen sie vor Problemen, auf die sie die Jahre am Campus nicht vorbereitet haben. Wie geht es nach dem Abschluss weiter? Werden sie wirklich zusammenbleiben? Wagen sie den nächsten Schritt? Schnell stellen sie fest, dass es leicht ist, einander zu lieben. Ein gemeinsames Leben zu beginnen, ist dagegen viel schwieriger.Begleite deine Lieblingscharaktere der»Off-Campus«-Reihe beim Erwachsenwerden. <p><strong>   Book 5 of 5      Off-Campus   <br>   Print length      392 pages   <br>   Language      German   <br>   Sticky notes      On Kindle Scribe   <br>   Publisher      Piper ebooks   <br>   Publication date      1 Jun. 2023   <br>   File size      6850 KB   <br>   Page Flip      Enabled   <br>   Word Wise      Not Enabled   <br>   Enhanced typesetting      Enabled   </strong></p><p> <center><a href=""https://www.amazon.de/dp/B0BKLBK1LN?&tag=buch0ed-21"" target=""_blank"">The Legacy – Endlich erwachsen (Off-Campus 5): Roman</a></center> </p>",The Legacy – Endlich erwachsen (Off-Campus 5): Roman,12,the-legacy-endlich-erwachsen-offcampus-5-roma
2023-07-04 21:41:07.530850,"<p> <center><a href=""https://www.amazon.de/dp/3734112737?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/41uAIZLME8L._SX308_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €9.99</p> »Sei ganz ehrlich: Wenn du dich nicht zwischen uns entscheiden müsstest, würdest du es dennoch tun?«Der Deal ist simpel: Ein Jahr lang soll die 19-jährige Cecelia zu ihrem entfremdeten Vater nach Trip...","<p> <center><a href=""https://www.amazon.de/dp/3734112737?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/41uAIZLME8L._SX308_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €9.99</p> »Sei ganz ehrlich: Wenn du dich nicht zwischen uns entscheiden müsstest, würdest du es dennoch tun?«Der Deal ist simpel: Ein Jahr lang soll die 19-jährige Cecelia zu ihrem entfremdeten Vater nach Triple Falls ziehen und in dessen Fabrik arbeiten. Im Gegenzug erhält sie Zugang zu seinem Vermögen. Angewiesen auf das Geld, um ihrer kranken Mutter helfen zu können, willigt Cecelia ein – nichts ahnend, dass sie als Tochter des Chefs dort nicht den einfachsten Start haben wird. Doch das ändert sich, als sie Sean kennenlernt. Der attraktive Kollege macht sie mit seinen Freunden bekannt, einer Gruppe junger Männer, die alle nach ihren eigenen Regeln leben und dasselbe Raben-Tattoo tragen. Verwirrt von ihren Gefühlen für Sean, aber auch für dessen geheimnisvollen Kumpel Dominic, ist Cecelia entschlossen, das Jahr zu nutzen, um herauszufinden, was – und vor allem wen – sie wirklich will …TikTok made me buy it – der erste Band der »The Ravenhood«-Trilogie endlich auf Deutsch!Weitere Bände der Reihe:Band 1: The Ravenhood – FlockBand 2: The Ravenhood – ExodusBand 3: The Ravenhood – The Finish Line <p><strong>   Book 1 of 3      The Ravenhood   <br>   Print length      416 pages   <br>   Language      German   <br>   Publisher      Blanvalet Taschenbuch Verlag   <br>   Publication date      22 Mar. 2023   <br>   Dimensions      13.5 x 3.6 x 21.5 cm   <br>   ISBN-10      3734112737   <br>   ISBN-13      978-3734112737   </strong></p><p> <center><a href=""https://www.amazon.de/dp/3734112737?&tag=buch0ed-21"" target=""_blank"">The Ravenhood - Flock: Roman - Die heiße TikTok-Sensation endlich auf Deutsch! - Mit farbigem Buchschnitt nur in limitierter Auflage. (The-Ravenhood-Trilogie, Band 1)</a></center> </p>","The Ravenhood - Flock: Roman - Die heiße TikTok-Sensation endlich auf Deutsch! - Mit farbigem Buchschnitt nur in limitierter Auflage. (The-Ravenhood-Trilogie, Band 1)",12,the-ravenhood-flock-roman-die-heie-tiktoksensation-endlich-auf-deutsch-mit-farbigem-buchschnitt-nur-in-limitierter-auflage-theravenhoodtrilogie-band-
2023-07-04 21:41:13.955446,"<p> <center><a href=""https://www.amazon.de/dp/355162044X?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/5141pjxF8YL._SX345_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €6.99</p> Mit SNS Card zum Sammeln und Kreativsein in der 1. Auflage!Verlieb dich niemals in das Objekt deiner Rache ...Prinz Sirius, der junge, etwas naive Sohn des Königs und seiner Konkubine, fragt eines Tag...","<p> <center><a href=""https://www.amazon.de/dp/355162044X?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/5141pjxF8YL._SX345_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €6.99</p> Mit SNS Card zum Sammeln und Kreativsein in der 1. Auflage!Verlieb dich niemals in das Objekt deiner Rache ...Prinz Sirius, der junge, etwas naive Sohn des Königs und seiner Konkubine, fragt eines Tages den ruppigen Bergmann Ombra um Hilfe. Was er nicht weiß: Zehn Jahre zuvor brannte der König Ombras Dorf nieder und tötete so seine Eltern. Konfrontiert mit dieser plötzlichen Chance auf Rache, fühlt sich Ombra hin- und hergerissen. In Sirius, der sich nicht an seine Vergangenheit erinnern kann, beginnen jedoch langsam Gefühle aufzukeimen ...Ein hocherotischer Fantasy-Boys-Love-Manga im historischen Setting. <p><strong>   Print length      208 pages   <br>   Language      German   <br>   Publisher      Hayabusa   <br>   Publication date      27 Jun. 2023   <br>   Reading age      18 years and up   <br>   Dimensions      12.8 x 2 x 17.5 cm   <br>   ISBN-10      355162044X   <br>   ISBN-13      978-3551620446   </strong></p><p> <center><a href=""https://www.amazon.de/dp/355162044X?&tag=buch0ed-21"" target=""_blank"">Kiss of the Innocent: Hocherotischer Fantasy-Yaoi-Manga ab 18 - mit SNS Card zum Sammeln in der ersten Auflage!</a></center> </p>",Kiss of the Innocent: Hocherotischer Fantasy-Yaoi-Manga ab 18 - mit SNS Card zum Sammeln in der ersten Auflage!,12,kiss-of-the-innocent-hocherotischer-fantasyyaoimanga-ab-18-mit-sns-card-zum-sammeln-in-der-ersten-auflag
2023-07-04 21:41:19.620652,"<p> <center><a href=""https://www.amazon.de/dp/1676667652?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/21EQR7UjcRL._SX350_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €29.90</p> ""Es gibt einen fundamentalen Unterschied zwischen Männern und Frauen. Ihn verdrängen, heißt leiden. Ihn spüren, heißt lieben. Ihn verstehen, heißt verführen. Denn nirgendwo fällt dieser Unterschied so...","<p> <center><a href=""https://www.amazon.de/dp/1676667652?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/21EQR7UjcRL._SX350_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €29.90</p> ""Es gibt einen fundamentalen Unterschied zwischen Männern und Frauen. Ihn verdrängen, heißt leiden. Ihn spüren, heißt lieben. Ihn verstehen, heißt verführen. Denn nirgendwo fällt dieser Unterschied so schwer ins Gewicht wie dort, wo sich die Geschlechter am nächsten kommen: In der Liebe, in Beziehungen und beim Sex."" - Lodovico Satana erklärt in seinem zum Klassiker gewordenen Erstling, weshalb die Gleichstellung der Geschlechter an der Schlafzimmertür enden sollte und warum wir die frommen Märchen unserer Erzieher über Liebe und Partnerschaft besser schleunigst vergessen. Was finden Frauen attraktiv? Wie sieht Verführungskunst in der Praxis aus? Was ist Eifersucht und wie wird man sie los? Wie führt man eine stabile Beziehung und welche Frauen kommen dafür in Frage? Anhand von über hundert Praxisbeispielen wird ein verblüffendes System entwickelt, das auf der Kenntnis jener verborgenen Kräfte beruht, die seit je her zwischen Mann und Frau wirken. Dass der Autor dabei auch Humor und Selbstironie nicht zu kurz kommen lässt, macht das Buch zu einer wohltuenden Ausnahmeerscheinung unter den einschlägigen Werken selbsternannter Verführungskünstler. - Die Neuauflage 2020 enthält den unveränderten Text der Erstveröffentlichung und eine Nachbemerkung des Autors. Das Buch ist auch als frei kopierbares e-PUB erhältlich. Der Autor treibt online unter dem Namen ""cordialpulpwriter"" diversen Schabernack. <p><strong>   Print length      333 pages   <br>   Language      German   <br>   Publication date      19 Dec. 2006   <br>   Dimensions      14.81 x 1.91 x 21.01 cm   <br>   ISBN-10      1676667652   <br>   ISBN-13      978-1676667650   </strong></p><p> <center><a href=""https://www.amazon.de/dp/1676667652?&tag=buch0ed-21"" target=""_blank"">Lob des Sexismus: Frauen verstehen, verführen und behalten</a></center> </p>","Lob des Sexismus: Frauen verstehen, verführen und behalten",12,lob-des-sexismus-frauen-verstehen-verfhren-und-behalte
2023-07-04 21:46:47.624636,"<p> <center><a href=""https://www.amazon.de/dp/3442493862?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/41hR+BBus+L._SX478_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €11.99</p> Mit wunderschön farbig gestaltetem BuchschnittOlivia war schon immer ein Pechvogel. Doch als sie die Liebesbriefe ihres Exfreundes verbrennt und dabei ein ganzes Gebäude abfackelt, sitzt sie richtig i...","<p> <center><a href=""https://www.amazon.de/dp/3442493862?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/41hR+BBus+L._SX478_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €11.99</p> Mit wunderschön farbig gestaltetem BuchschnittOlivia war schon immer ein Pechvogel. Doch als sie die Liebesbriefe ihres Exfreundes verbrennt und dabei ein ganzes Gebäude abfackelt, sitzt sie richtig in der Klemme. Liv muss bei ihrem Bruder einziehen, der mit dem Schrecken ihrer Kindheit zusammenwohnt, seinem besten Freund Colin. Inzwischen ein erfolgreicher Geschäftsmann ist Colin noch arroganter als früher, aber leider auch richtig heiß. Ablenkung von ihrem Gefühlschaos findet Olivia durch die SMS eines Unbekannten, die versehentlich auf ihrem Handy landen. Die sexy Nachrichten von Mr Wrong Number lassen ihre Knie weich werden. Und auch Mr Wrong Number findet die gewitzte Unbekannte unwiderstehlich. Bis er begreift, dass sie die kleine, nervige Schwester seines Mitbewohners ist … <p><strong>   Print length      368 pages   <br>   Language      German   <br>   Publisher      Goldmann Verlag   <br>   Publication date      20 April 2023   <br>   Dimensions      13.6 x 3.3 x 20.5 cm   <br>   ISBN-10      3442493862   <br>   ISBN-13      978-3442493869   </strong></p><p> <center><a href=""https://www.amazon.de/dp/3442493862?&tag=buch0ed-21"" target=""_blank"">Mr Wrong Number: Roman - Spicy Summer - Eine Romance mit Suchtfaktor für die Fans von Ali Hazelwood</a></center> </p>",Mr Wrong Number: Roman - Spicy Summer - Eine Romance mit Suchtfaktor für die Fans von Ali Hazelwood,12,mr-wrong-number-roman-spicy-summer-eine-romance-mit-suchtfaktor-fr-die-fans-von-ali-hazelwoo
2023-07-04 21:46:53.663219,"<p> <center><a href=""https://www.amazon.de/dp/3969051517?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/31kIEWS1kVL._SX394_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €21.99</p> Wärst du in deiner Beziehung gerne wieder richtig glücklich? Leidet ihr unter wiederkehrenden Konflikten?Oder würdest du einfach gerne eure Verbindung vertiefen, das Vertrauen stärken und die Kommunik...","<p> <center><a href=""https://www.amazon.de/dp/3969051517?&tag=buch0ed-21"" target=""_blank""><img src=""https://m.media-amazon.com/images/I/31kIEWS1kVL._SX394_BO1,204,203,200_.jpg"" ""></a> </center></p><p><br></p> <p>Preis: €21.99</p> Wärst du in deiner Beziehung gerne wieder richtig glücklich? Leidet ihr unter wiederkehrenden Konflikten?Oder würdest du einfach gerne eure Verbindung vertiefen, das Vertrauen stärken und die Kommunikation verbessern?Dann ist dieses geführte Workbook genau richtig für dich. Die Psychologin und erfahrene Paartherapeutin Linda Mitterweger, bekannt durch den beliebten »Paartherapie Podcast«, leitet darin Schritt für Schritt dazu an, die eigene Beziehungssituation zu reflektieren, sich mit den Wünschen und Bedürfnissen beider Partner auseinanderzusetzen und Akzeptanz und Verständnis im gemeinsamen Alltag zu verankern. Aufgebaut wie eine Paartherapie, bietet das Ausfüllbuch konkrete Tipps und Impulse, Techniken und Strategien sowie praktische Aufgaben aus der Paartherapie, um den Teufelskreisen in der Partnerschaft zu entkommen und eine vertrauensvolle Verbindung zu leben. Das Buch unterstützt dabei, frühere Verletzungen aufzuarbeiten und die Partnerschaft kontinuierlich weiterzuentwickeln. So lassen sich die eigene Beziehung stärken, wiederkehrende Konflikte lösen und eine gesunde Kommunikation und Streitkultur erlernen, um wieder miteinander glücklich zu werden.INTERAKTIVER LEITFADEN zur Reflexion, Entwicklung, Gestaltung und Vertiefung der eigenen Beziehung, der alle großen Beziehungsbereiche einschließt: Kommunikation • Konflikte und Streitkultur • Vertrauen und Eifersucht • Sexualität und Intimität • Akzeptanz und Respekt • Wahrnehmung und Aufmerksamkeit • Alltag und Begegnung • Zeit und Gemeinsamkeit • Aufarbeitung und EntwicklungMIT VIELEN FRAGEN UND ÜBUNGEN auf Basis wissenschaftlich fundierter Strategien aus der PaartherapieFÜR ALLE MENSCHEN IN BEZIEHUNGEN GEEIGNET: Das Buch kann von Einzelpersonen ausgefüllt oder auch gemeinsam als Paar bearbeitet werden und ist für alle Beziehungskonstellationen geeignet. Es kann auch begleitend zu einer Paartherapie eingesetzt werden. <p><strong>   Print length      288 pages   <br>   Language      German   <br>   Publisher      Yes Publishing   <br>   Publication date      17 May 2022   <br>   Dimensions      21.2 x 2.1 x 27.6 cm   <br>   ISBN-10      3969051517   <br>   ISBN-13      978-3969051511   </strong></p><p> <center><a href=""https://www.amazon.de/dp/3969051517?&tag=buch0ed-21"" target=""_blank"">Paartherapie für zu Hause: Das Workbook, um Beziehungskonflikte zu lösen und wieder miteinander glücklich zu werden</a></center> </p>","Paartherapie für zu Hause: Das Workbook, um Beziehungskonflikte zu lösen und wieder miteinander glücklich zu werden",12,paartherapie-fr-zu-hause-das-workbook-um-beziehungskonflikte-zu-lsen-und-wieder-miteinander-glcklich-zu-werde
